3.78	0.00	2.50	5.21	0.00	0.00	0.00	0.00	0.00	1543051	135108	147643	129454	631	2600	308	0.18	0.01	0.73	0.02	0.09	0.01
5.21	0.00	2.50	3.57	0.00	0.00	0.00	0.00	0.00	1537301	137794	144433	132161	674	2593	391	0.18	0.01	0.71	0.02	0.11	0.01
3.38	0.00	2.50	5.51	0.00	0.00	0.00	0.00	0.00	1532330	134822	147976	129304	589	2707	343	0.16	0.01	0.74	0.02	0.09	0.01
4.63	0.00	2.50	4.38	0.00	0.00	0.00	0.00	0.00	1540296	136114	145184	129357	724	2608	410	0.19	0.01	0.70	0.02	0.11	0.01
4.78	0.00	2.50	4.19	0.00	0.00	0.00	0.00	0.00	1545062	135661	144992	128064	696	2654	423	0.18	0.01	0.70	0.02	0.11	0.01
3.97	0.00	2.50	5.06	0.00	0.00	0.00	0.00	0.00	1546377	134467	146983	127060	644	2655	319	0.18	0.01	0.73	0.02	0.09	0.01
4.14	0.00	2.50	4.90	0.00	0.00	0.00	0.00	0.00	1542948	133704	146522	128023	654	2700	362	0.18	0.01	0.73	0.02	0.10	0.01
3.59	0.00	2.50	5.21	0.00	0.00	0.00	0.00	0.00	1599784	145302	145063	131505	957	2489	334	0.25	0.01	0.66	0.02	0.09	0.01
4.31	0.00	2.50	4.56	0.00	0.00	0.00	0.00	0.00	1539750	143073	136614	132128	956	2130	431	0.27	0.01	0.61	0.02	0.12	0.01
4.47	0.00	2.50	4.38	0.00	0.00	0.00	0.00	0.00	1534308	142637	135771	129256	964	2201	386	0.27	0.01	0.62	0.02	0.11	0.01
4.14	0.00	2.50	4.73	0.00	0.00	0.00	0.00	0.00	1543491	142729	137763	128197	948	2236	402	0.26	0.01	0.62	0.02	0.11	0.01
3.78	0.00	2.50	5.06	0.00	0.00	0.00	0.00	0.00	1538974	141793	139486	128361	994	2339	383	0.27	0.01	0.63	0.02	0.10	0.01
4.78	0.00	2.50	4.00	0.00	0.00	0.00	0.00	0.00	1542908	142566	134584	130278	1041	2142	493	0.28	0.01	0.58	0.02	0.13	0.01
3.38	0.00	2.50	5.36	0.00	0.00	0.00	0.00	0.00	1552794	140203	141499	126664	929	2480	304	0.25	0.01	0.67	0.02	0.08	0.00
5.07	0.00	2.50	3.57	0.00	0.00	0.00	0.00	0.00	1549266	142130	133241	129511	1027	2163	515	0.28	0.01	0.58	0.02	0.14	0.01
4.93	0.00	2.50	3.79	0.00	0.00	0.00	0.00	0.00	1540104	144472	135020	132953	1029	2112	540	0.28	0.01	0.57	0.02	0.15	0.01
3.97	0.00	2.50	4.90	0.00	0.00	0.00	0.00	0.00	1542634	143688	138696	130238	988	2291	374	0.27	0.01	0.63	0.02	0.10	0.01
3.16	0.00	2.50	5.51	0.00	0.00	0.00	0.00	0.00	1524774	141772	142564	129049	802	2426	311	0.23	0.01	0.69	0.02	0.09	0.01
5.21	0.00	2.50	3.34	0.00	0.00	0.00	0.00	0.00	1541828	143335	133915	132980	1046	2139	556	0.28	0.01	0.57	0.02	0.15	0.01
4.63	0.00	2.50	4.19	0.00	0.00	0.00	0.00	0.00	1538737	143274	134544	130952	1036	2197	446	0.28	0.01	0.60	0.02	0.12	0.01
5.21	0.00	2.50	3.10	0.00	0.00	0.00	0.00	0.00	1553834	149274	120477	135114	1385	1542	773	0.37	0.01	0.42	0.01	0.21	0.01
4.14	0.00	2.50	4.56	0.00	0.00	0.00	0.00	0.00	1547454	152226	125539	132742	1365	1662	479	0.39	0.01	0.47	0.01	0.14	0.01
4.47	0.00	2.50	4.19	0.00	0.00	0.00	0.00	0.00	1549674	151913	123242	133502	1351	1644	634	0.37	0.01	0.45	0.01	0.17	0.01
3.97	0.00	2.50	4.73	0.00	0.00	0.00	0.00	0.00	1545532	150104	125892	131268	1362	1753	467	0.38	0.01	0.49	0.01	0.13	0.01
3.78	0.00	2.50	4.90	0.00	0.00	0.00	0.00	0.00	1539924	151215	128282	132145	1357	1764	434	0.38	0.01	0.50	0.01	0.12	0.01
5.07	0.00	2.50	3.34	0.00	0.00	0.00	0.00	0.00	1543980	151217	121185	136537	1435	1588	705	0.38	0.01	0.43	0.01	0.19	0.01
4.31	0.00	2.50	4.38	0.00	0.00	0.00	0.00	0.00	1543715	152067	124741	134118	1377	1664	582	0.38	0.01	0.46	0.01	0.16	0.01
4.63	0.00	2.50	4.00	0.00	0.00	0.00	0.00	0.00	1543576	152622	123515	135050	1492	1673	640	0.39	0.01	0.44	0.01	0.17	0.01
3.38	0.00	2.50	5.21	0.00	0.00	0.00	0.00	0.00	1535558	150279	130620	131173	1310	1940	391	0.36	0.01	0.53	0.01	0.11	0.01
4.93	0.00	2.50	3.57	0.00	0.00	0.00	0.00	0.00	1554340	150295	121153	134511	1416	1598	701	0.38	0.01	0.43	0.01	0.19	0.01
4.78	0.00	2.50	3.79	0.00	0.00	0.00	0.00	0.00	1595788	156172	126081	138447	1461	1631	648	0.39	0.01	0.44	0.01	0.17	0.01
3.59	0.00	2.50	5.06	0.00	0.00	0.00	0.00	0.00	1553009	148906	128199	127602	1373	2005	441	0.36	0.01	0.53	0.01	0.12	0.01
3.16	0.00	2.50	5.36	0.00	0.00	0.00	0.00	0.00	1543175	149553	131339	129344	1349	2039	366	0.36	0.01	0.54	0.01	0.10	0.01
2.93	0.00	2.50	5.51	0.00	0.00	0.00	0.00	0.00	1551126	148030	133001	127404	1312	2155	317	0.35	0.01	0.57	0.02	0.08	0.00
4.31	0.00	2.50	4.19	0.00	0.00	0.00	0.00	0.00	1546846	160133	110958	134736	1824	1119	683	0.50	0.01	0.31	0.01	0.19	0.01
5.07	0.00	2.50	3.10	0.00	0.00	0.00	0.00	0.00	1555667	158352	107957	137339	1753	1067	856	0.48	0.01	0.29	0.01	0.23	0.01
2.67	0.00	2.50	5.51	0.00	0.00	0.00	0.00	0.00	1552085	158079	120174	129346	1692	1501	412	0.47	0.01	0.42	0.01	0.11	0.01
3.78	0.00	2.50	4.73	0.00	0.00	0.00	0.00	0.00	1551881	160197	114240	133243	1811	1245	589	0.50	0.01	0.34	0.01	0.16	0.01
3.97	0.00	2.50	4.56	0.00	0.00	0.00	0.00	0.00	1550474	159290	112482	132764	1821	1148	642	0.50	0.01	0.32	0.01	0.18	0.01
5.21	0.00	2.50	2.83	0.00	0.00	0.00	0.00	0.00	1545792	157878	107579	139702	1785	1065	897	0.48	0.01	0.28	0.01	0.24	0.01
4.14	0.00	2.50	4.38	0.00	0.00	0.00	0.00	0.00	1543137	160171	111087	133357	1858	1141	697	0.50	0.01	0.31	0.01	0.19	0.01
4.93	0.00	2.50	3.34	0.00	0.00	0.00	0.00	0.00	1542619	158939	108313	138005	1785	1042	844	0.49	0.01	0.28	0.01	0.23	0.01
4.47	0.00	2.50	4.00	0.00	0.00	0.00	0.00	0.00	1566651	162772	111669	139122	1908	1033	748	0.52	0.01	0.28	0.01	0.20	0.01
